服务区,A安全载荷(kg),A限制因素,B安全载荷(kg),B限制因素,C安全载荷(kg),C限制因素
S001,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S002,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,68.860474,ENERGY_LIMITED
S003,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,68.205566,ENERGY_LIMITED
S004,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,63.697510,ENERGY_LIMITED
S005,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S006,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S007,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S008,25.000000,RATED_PAYLOAD_LIMITED,28.800659,ENERGY_LIMITED,58.903809,ENERGY_LIMITED
S009,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S010,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S011,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S012,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,68.118286,ENERGY_LIMITED
S013,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S014,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
S015,25.000000,RATED_PAYLOAD_LIMITED,30.000000,RATED_PAYLOAD_LIMITED,80.000000,RATED_PAYLOAD_LIMITED
