node_id,longitude,latitude,official_elevation,population,source_file,source_sheet,source_row
O01,109.2308517,23.0085095,127.7,,调度中心与服务区.xlsx,数据,3
S001,109.2432319,23.0335927,154.0,2100.0,调度中心与服务区.xlsx,数据,7
S002,109.2585519,23.0703271,189.5,330.0,调度中心与服务区.xlsx,数据,8
S003,109.1688578,23.0402714,308.5,275.0,调度中心与服务区.xlsx,数据,9
S004,109.2381714,23.0778414,198.3,188.0,调度中心与服务区.xlsx,数据,10
S005,109.2283003,23.0561338,165.0,126.0,调度中心与服务区.xlsx,数据,11
S006,109.1997836,23.007714,284.8,121.0,调度中心与服务区.xlsx,数据,12
S007,109.1928191,23.0294186,318.5,76.0,调度中心与服务区.xlsx,数据,13
S008,109.2127472,23.0795113,240.9,55.0,调度中心与服务区.xlsx,数据,14
S009,109.2541424,23.0552989,200.0,45.0,调度中心与服务区.xlsx,数据,15
S010,109.2760168,23.0194009,321.6,31.0,调度中心与服务区.xlsx,数据,16
S011,109.2203356,23.0319231,182.1,30.0,调度中心与服务区.xlsx,数据,17
S012,109.2831357,23.054464,249.8,16.0,调度中心与服务区.xlsx,数据,18
S013,109.2713839,23.0310882,321.7,14.0,调度中心与服务区.xlsx,数据,19
S014,109.2835966,23.0052097,321.0,12.0,调度中心与服务区.xlsx,数据,20
S015,109.1923786,23.0494548,444.5,3.0,调度中心与服务区.xlsx,数据,21
