service_id,aircraft_type,rated_payload_kg,safe_payload_kg,limiting_factor,reachable,outbound_distance_m,return_distance_m,cruise_altitude_out_m,cruise_altitude_back_m,energy_empty_rt_kwh,energy_rated_rt_kwh,energy_safe_payload_rt_kwh,energy_budget_kwh,return_soc_at_safe_payload,bisection_lower_kg,bisection_upper_kg,bisection_energy_lower_kwh,bisection_energy_upper_kwh,reserve_ratio,validation_status
S001,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,3053.9887026416195,3053.9887026416195,273.0566101074219,273.0566101074219,1.1615179500888662,1.312696104907102,1.312696104907102,3.6,0.7082897544650885,,,,,0.2,PASS
S001,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,3053.9887026416195,3053.9887026416195,273.0566101074219,273.0566101074219,0.9302157880970683,1.2739272592193345,1.2739272592193345,3.2,0.6815181851951664,,,,,0.2,PASS
S001,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,3053.9887026416195,3053.9887026416195,273.0566101074219,273.0566101074219,1.9413709917060453,3.0816703507897163,3.0816703507897163,6.4,0.6147912061512855,,,,,0.2,PASS
S002,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,7411.3077087600395,7411.3077087600395,308.9542541503906,308.9542541503906,2.7397652394687957,3.090418154953506,3.090418154953506,3.6,0.313240410010332,,,,,0.2,PASS
S002,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,7411.3077087600395,7411.3077087600395,308.9542541503906,308.9542541503906,2.184089919366965,2.9987314847570086,2.9987314847570086,3.2,0.25031712881074786,,,,,0.2,PASS
S002,C,80.0,68.8604736328125,ENERGY_LIMITED,True,7411.3077087600395,7411.3077087600395,308.9542541503906,308.9542541503906,4.632396787504206,7.347727240907693,6.399965781923349,6.4,0.20000427725958136,68.8604736328125,68.861083984375,6.399965781923349,6.400006328946414,0.2,PASS
S003,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,7263.327717049588,7263.327717049588,561.8041381835938,561.8041381835938,2.7889060418494793,3.156815852260211,3.156815852260211,3.6,0.29848536616439747,,,,,0.2,PASS
S003,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,7263.327717049588,7263.327717049588,561.8041381835938,561.8041381835938,2.236908264032108,3.0643940237739073,3.0643940237739073,3.2,0.23390149405652316,,,,,0.2,PASS
S003,C,80.0,68.20556640625,ENERGY_LIMITED,True,7263.327717049588,7263.327717049588,561.8041381835938,561.8041381835938,4.643599471475303,7.382340084783074,6.399967784516985,6.4,0.2000040269353769,68.20556640625,68.2061767578125,6.399967784516985,6.400007099606556,0.2,PASS
S004,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,7714.729254942358,7714.729254942358,398.2391662597656,398.2391662597656,2.89395885075,3.266710815706215,3.266710815706215,3.6,0.27406426317639676,,,,,0.2,PASS
S004,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,7714.729254942358,7714.729254942358,398.2391662597656,398.2391662597656,2.312532083313514,3.169817195952195,3.169817195952195,3.2,0.20754570101195124,,,,,0.2,PASS
S004,C,80.0,63.697509765625,ENERGY_LIMITED,True,7714.729254942358,7714.729254942358,398.2391662597656,398.2391662597656,4.86401536243565,7.715290626537506,6.3999960383244785,6.4,0.2000004952094402,63.697509765625,63.6981201171875,6.3999960383244785,6.40003090116407,0.2,PASS
S005,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,5280.641689396255,5280.641689396255,326.410888671875,326.410888671875,1.988460487713966,2.244884581101709,2.244884581101709,3.6,0.5011367597551758,,,,,0.2,PASS
S005,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,5280.641689396255,5280.641689396255,326.410888671875,326.410888671875,1.5899392851065786,2.178276584094071,2.178276584094071,3.2,0.4554308539764822,,,,,0.2,PASS
S005,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,5280.641689396255,5280.641689396255,326.410888671875,326.410888671875,3.3369302352879213,5.292689896279935,5.292689896279935,6.4,0.33841376296500814,,,,,0.2,PASS
S006,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,3186.250613253772,3186.250613253772,366.09783935546875,366.09783935546875,1.2237732489095303,1.389703563652124,1.389703563652124,3.6,0.6911769858550836,,,,,0.2,PASS
S006,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,3186.250613253772,3186.250613253772,366.09783935546875,366.09783935546875,0.981600129915095,1.3500429687676934,1.3500429687676934,3.2,0.6624892578080767,,,,,0.2,PASS
S006,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,3186.250613253772,3186.250613253772,366.09783935546875,366.09783935546875,2.037383031968428,3.2533222222606155,3.2533222222606155,6.4,0.593334722217423,,,,,0.2,PASS
S007,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,4534.527995612143,4534.527995612143,511.9731750488281,511.9731750488281,1.7774952682710516,2.0178957924649232,2.0178957924649232,3.6,0.5515787127855727,,,,,0.2,PASS
S007,B,30.0,30.0,RATED_PAYLOAD_LIMITED,True,4534.527995612143,4534.527995612143,511.9731750488281,511.9731750488281,1.4302828178933868,1.959741220407135,1.959741220407135,3.2,0.5100646948982163,,,,,0.2,PASS
S007,C,80.0,80.0,RATED_PAYLOAD_LIMITED,True,4534.527995612143,4534.527995612143,511.9731750488281,511.9731750488281,2.9353367203957283,4.679425646924123,4.679425646924123,6.4,0.4150717941344846,,,,,0.2,PASS
S008,A,25.0,25.0,RATED_PAYLOAD_LIMITED,True,8079.114648723534,8079.114648723534,372.9093322753906,372.9093322753906,3.000438694130821,3.3871921605992137,3.3871921605992137,3.6,0.24729063097795256,,,,,0.2,PASS
