sortie_id,battery_id,type,occupation_start_s,charge_start_s,full_ready_s,return_soc,charging_time_s
Q2-001,A_BAT_06,A,0.0,2031.774370047618,3193.9302231059523,0.4906493438012812,1162.1558530583343
Q2-002,A_BAT_02,A,0.0,1250.9011452644888,2121.3504765323883,0.7150389759477697,870.4493312678993
Q2-003,B_BAT_04,B,0.0,1922.7345559700404,3782.088147460919,0.31191138952449315,1859.3535914908787
Q2-004,B_BAT_03,B,0.0,1869.7521946190166,3463.8834966823288,0.4649242488096277,1594.131302063312
Q2-005,C_BAT_03,C,0.0,2041.8120186387082,4424.632960697143,0.28485187289610714,2382.820942058435
Q2-006,C_BAT_02,C,0.0,1560.1703918789087,3183.6751246205577,0.6353055079653928,1623.504732741649
Q2-007,A_BAT_03,A,0.001,1667.4363226736384,2708.385712921132,0.5838850844250048,1040.9493902474937
Q2-008,A_BAT_05,A,0.001,1667.4363226736384,2708.385712921132,0.5838850844250048,1040.9493902474937
Q2-009,C_BAT_04,C,1560.171,3121.7305259403465,4658.682463732264,0.6752529517883454,1536.9519377919182
Q2-010,B_BAT_02,B,1869.753,3686.4469339219113,5528.917110282493,0.3216518213304336,1842.470176360582
Q2-011,B_BAT_01,B,1922.735,3433.2052802929447,4890.583194391026,0.5438204341741839,1457.3779140980812
Q2-012,A_BAT_04,A,2031.775,3699.2103226736385,4715.945778319739,0.6025111879645384,1016.7354556461
Q2-013,C_BAT_01,C,2041.813,4411.92414433708,6806.608043948658,0.27937666171773357,2394.683899611577
Q2-014,A_BAT_01,A,2043.203,4074.977370047618,5268.273491422275,0.46669529125026454,1193.2961213746562
Q2-015,A_BAT_05,A,2708.386,4740.160370047618,5921.434943970069,0.4759426354442685,1181.2745739224508
Q2-016,C_BAT_02,C,3183.676,5484.737066593226,7984.480006259226,0.23088787400030764,2499.742939666
Q2-017,B_BAT_03,B,3463.884,5544.427098275883,7415.7174841285905,0.30502477739266864,1871.2903858527077
Q2-018,A_BAT_02,A,3699.211,5366.646322673638,6392.362390900827,0.5956030244406236,1025.7160682271895
Q2-019,B_BAT_04,B,3782.089,5340.531247394405,6915.555813458771,0.4759473657320967,1575.0245660643657
Q2-020,C_BAT_03,C,4424.633,7117.0379059998295,9671.45713784197,0.20565266222670464,2554.41923184214
Q2-021,B_BAT_01,B,5340.532,7168.82058402045,8835.371323996049,0.4231438038602313,1666.550739975599
Q2-022,A_BAT_03,A,5366.647,6557.548145264489,7397.87531720076,0.73820986774133,840.3271719362709
Q2-023,C_BAT_04,C,5484.738,7361.933158195543,9338.772167479463,0.47222814956126735,1976.8390092839209
Q2-024,B_BAT_02,B,5544.428,6693.529521843101,7796.543580930356,0.7482611197573525,1103.0140590872556
Q2-025,A_BAT_01,A,5669.838,7337.273322673638,8358.970277460408,0.5986946501640227,1021.6969547867706
