box_id,sortie_id,service_id,category,first_batch,delivery_complete_s,hard_deadline_s,expected_s,ordinary_lateness_s,aircraft_type,uav_id,start_time_s,delivery_complete_time_s,expected_time_s,tardiness_s,deadline_status
S001-FOD-01,Q2-024,S001,应急食品,False,6402.102094254884,,7200.0,0,B,U05,5544.428,6402.102094254884,7200.0,0,ON_TIME
S001-FOD-02,Q2-002,S001,应急食品,False,908.5739059655778,,7200.0,0,A,U03,0.0,908.5739059655778,7200.0,0,ON_TIME
S001-FOD-03,Q2-014,S001,应急食品,False,2921.7769059655775,,7200.0,0,A,U03,2043.203,2921.7769059655775,7200.0,0,ON_TIME
S001-HYG-01,Q2-024,S001,生活卫生用品,False,6402.102094254884,,10800.0,0,B,U05,5544.428,6402.102094254884,10800.0,0,ON_TIME
S001-HYG-02,Q2-022,S001,生活卫生用品,False,6215.220905965578,,10800.0,0,A,U02,5366.647,6215.220905965578,10800.0,0,ON_TIME
S001-MED-01,Q2-006,S001,医疗物资,True,1248.2701959394544,3600.0,3600.0,0,C,U08,0.0,1248.2701959394544,3600.0,0,ON_TIME
S001-MED-02,Q2-006,S001,医疗物资,False,1248.2701959394544,3600.0,3600.0,0,C,U08,0.0,1248.2701959394544,3600.0,0,ON_TIME
S001-WAT-01,Q2-006,S001,饮用水,True,1248.2701959394544,3600.0,3600.0,0,C,U08,0.0,1248.2701959394544,3600.0,0,ON_TIME
S001-WAT-02,Q2-006,S001,饮用水,False,1248.2701959394544,,3600.0,0,C,U08,0.0,1248.2701959394544,3600.0,0,ON_TIME
S001-WAT-03,Q2-006,S001,饮用水,False,1248.2701959394544,,3600.0,0,C,U08,0.0,1248.2701959394544,3600.0,0,ON_TIME
S001-WAT-04,Q2-006,S001,饮用水,False,1248.2701959394544,,3600.0,0,C,U08,0.0,1248.2701959394544,3600.0,0,ON_TIME
S001-WAT-05,Q2-006,S001,饮用水,False,1248.2701959394544,,3600.0,0,C,U08,0.0,1248.2701959394544,3600.0,0,ON_TIME
S001-WAT-06,Q2-001,S001,饮用水,False,878.5739059655778,,3600.0,0,A,U02,0.0,878.5739059655778,3600.0,0,ON_TIME
S001-WAT-07,Q2-015,S001,饮用水,False,3586.9599059655775,,3600.0,0,A,U01,2708.386,3586.9599059655775,3600.0,0,ON_TIME
S001-WAT-08,Q2-002,S001,饮用水,False,908.5739059655778,,3600.0,0,A,U03,0.0,908.5739059655778,3600.0,0,ON_TIME
S002-FOD-01,Q2-010,S002,应急食品,False,3090.039966960956,,7200.0,0,B,U06,1869.753,3090.039966960956,7200.0,0,ON_TIME
S002-FOD-02,Q2-005,S002,应急食品,False,1421.3160093193542,,7200.0,0,C,U07,0.0,1421.3160093193542,7200.0,0,ON_TIME
S002-HYG-01,Q2-005,S002,生活卫生用品,False,1421.3160093193542,,10800.0,0,C,U07,0.0,1421.3160093193542,10800.0,0,ON_TIME
S002-MED-01,Q2-010,S002,医疗物资,True,3090.039966960956,3600.0,3600.0,0,B,U06,1869.753,3090.039966960956,3600.0,0,ON_TIME
S002-WAT-01,Q2-005,S002,饮用水,True,1421.3160093193542,3600.0,3600.0,0,C,U07,0.0,1421.3160093193542,3600.0,0,ON_TIME
S002-WAT-02,Q2-005,S002,饮用水,False,1421.3160093193542,,3600.0,0,C,U07,0.0,1421.3160093193542,3600.0,0,ON_TIME
S002-WAT-03,Q2-005,S002,饮用水,False,1421.3160093193542,,3600.0,0,C,U07,0.0,1421.3160093193542,3600.0,0,ON_TIME
S002-WAT-04,Q2-010,S002,饮用水,False,3090.039966960956,,3600.0,0,B,U06,1869.753,3090.039966960956,3600.0,0,ON_TIME
S003-FOD-01,Q2-017,S003,应急食品,False,4812.128882471275,,10800.0,0,B,U05,3463.884,4812.128882471275,10800.0,0,ON_TIME
S003-FOD-02,Q2-013,S003,应急食品,False,3621.32857216854,,10800.0,0,C,U07,2041.813,3621.32857216854,10800.0,0,ON_TIME
S003-HYG-01,Q2-013,S003,生活卫生用品,False,3621.32857216854,,14400.0,0,C,U07,2041.813,3621.32857216854,14400.0,0,ON_TIME
S003-MED-01,Q2-017,S003,医疗物资,True,4812.128882471275,7200.0,7200.0,0,B,U05,3463.884,4812.128882471275,7200.0,0,ON_TIME
S003-WAT-01,Q2-013,S003,饮用水,True,3621.32857216854,7200.0,7200.0,0,C,U07,2041.813,3621.32857216854,7200.0,0,ON_TIME
S003-WAT-02,Q2-013,S003,饮用水,False,3621.32857216854,,7200.0,0,C,U07,2041.813,3621.32857216854,7200.0,0,ON_TIME
S003-WAT-03,Q2-017,S003,饮用水,False,4812.128882471275,,7200.0,0,B,U05,3463.884,4812.128882471275,7200.0,0,ON_TIME
S003-WAT-04,Q2-013,S003,饮用水,False,3621.32857216854,,7200.0,0,C,U07,2041.813,3621.32857216854,7200.0,0,ON_TIME
S004-FOD-01,Q2-016,S004,应急食品,False,4767.176533296613,,10800.0,0,C,U08,3183.676,4767.176533296613,10800.0,0,ON_TIME
S004-HYG-01,Q2-016,S004,生活卫生用品,False,4767.176533296613,,14400.0,0,C,U08,3183.676,4767.176533296613,14400.0,0,ON_TIME
S004-MED-01,Q2-016,S004,医疗物资,True,4767.176533296613,7200.0,7200.0,0,C,U08,3183.676,4767.176533296613,7200.0,0,ON_TIME
S004-WAT-01,Q2-016,S004,饮用水,True,4767.176533296613,7200.0,7200.0,0,C,U08,3183.676,4767.176533296613,7200.0,0,ON_TIME
