sortie_id,candidate_id,uav_id,aircraft_type,battery_id,start_s,takeoff_s,service_sequence,box_ids,box_count,mass_kg,volume_m3,return_s,operation_time_s,initial_mass_kg,initial_volume_m3,start_time_s,takeoff_time_s,return_time_s,uav_release_time_s,battery_full_time_s,hard_latest_start_s,energy_kwh,energy_budget_kwh,return_soc,battery_full_s
Q2-001,O1-00075,U02,A,A_BAT_06,0.0,360.0,"S001,S010","S001-WAT-06,S010-MED-01",2,17.0,0.039,2031.774370047618,2031.774370047618,17.0,0.039,0.0,360.0,2031.774370047618,2031.774370047618,3193.9302231059523,2118.118662446513,2.2920779528942345,3.6,0.4906493438012812,3193.9302231059523
Q2-002,O1-00037,U03,A,A_BAT_02,0.0,360.0,S001,"S001-FOD-02,S001-WAT-08",2,22.0,0.055,1250.9011452644888,1250.9011452644888,22.0,0.055,0.0,360.0,1250.9011452644888,1250.9011452644888,2121.3504765323883,,1.2823246082350366,3.6,0.7150389759477697,2121.3504765323883
Q2-003,P00158,U05,B,B_BAT_04,0.0,390.0,S012,"S012-FOD-01,S012-MED-01,S012-WAT-01",3,25.0,0.067,1922.7345559700404,1922.7345559700404,25.0,0.067,0.0,390.0,1922.7345559700404,1922.7345559700404,3782.088147460919,2328.70272201498,2.7523544419020274,3.2,0.31191138952449315,3782.088147460919
Q2-004,P00166,U06,B,B_BAT_03,0.0,390.0,S014,"S014-FOD-01,S014-MED-01,S014-WAT-01",3,25.0,0.067,1869.7521946190166,1869.7521946190166,25.0,0.067,0.0,390.0,1869.7521946190166,1869.7521946190166,3463.8834966823288,2357.567236023825,2.1403030047614893,3.2,0.4649242488096277,3463.8834966823288
Q2-005,P00326,U07,C,C_BAT_03,0.0,450.0,S002,"S002-FOD-02,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-WAT-03",5,56.0,0.14400000000000002,2041.8120186387082,2041.8120186387082,56.0,0.14400000000000002,0.0,450.0,2041.8120186387082,2041.8120186387082,4424.632960697143,2178.683990680646,5.721185016831143,6.4,0.28485187289610714,4424.632960697143
Q2-006,P00185,U08,C,C_BAT_02,0.0,510.0,S001,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",7,76.0,0.159,1560.1703918789087,1560.1703918789087,76.0,0.159,0.0,510.0,1560.1703918789087,1560.1703918789087,3183.6751246205577,2351.7298040605456,2.917555936276858,6.4,0.6353055079653928,3183.6751246205577
Q2-007,P00053,U01,A,A_BAT_03,0.001,330.001,S007,S007-WAT-01,1,14.0,0.027,1667.4363226736384,1667.4353226736384,14.0,0.027,0.001,330.001,1667.4363226736384,1667.4363226736384,2708.385712921132,2518.642338663181,1.8725171200874788,3.6,0.5838850844250048,2708.385712921132
Q2-008,P00054,U04,A,A_BAT_05,0.001,330.001,S007,S007-WAT-02,1,14.0,0.027,1667.4363226736384,1667.4353226736384,14.0,0.027,0.001,330.001,1667.4363226736384,1667.4363226736384,2708.385712921132,,1.8725171200874788,3.6,0.5838850844250048,2708.385712921132
Q2-009,P00389,U08,C,C_BAT_04,1560.171,2040.171,S006,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03",6,59.0,0.156,3121.7305259403465,1561.5595259403467,59.0,0.156,1560.171,2040.171,3121.7305259403465,3121.7305259403465,4658.682463732264,2390.575237029827,2.5979763856932365,6.4,0.6752529517883454,4658.682463732264
Q2-010,P00099,U06,B,B_BAT_02,1869.753,2259.7529999999997,S002,"S002-FOD-01,S002-MED-01,S002-WAT-04",3,25.0,0.067,3686.4469339219113,1816.6939339219116,25.0,0.067,1869.753,2259.7529999999997,3686.4469339219113,3686.4469339219113,5528.917110282493,2379.713033039044,2.7133927146782657,3.2,0.3216518213304336,5528.917110282493
Q2-011,P00162,U05,B,B_BAT_01,1922.735,2312.7349999999997,S013,"S013-FOD-01,S013-MED-01,S013-WAT-01",3,25.0,0.067,3433.2052802929447,1510.4702802929446,25.0,0.067,1922.735,2312.7349999999997,3433.2052802929447,3433.2052802929447,4890.583194391026,2537.231526520194,1.8247182633032644,3.2,0.5438204341741839,4890.583194391026
Q2-012,P00052,U02,A,A_BAT_04,2031.775,2361.775,S007,S007-MED-01,1,3.0,0.012,3699.2103226736385,1667.4353226736384,3.0,0.012,2031.775,2361.775,3699.2103226736385,3699.2103226736385,4715.945778319739,2518.642338663181,1.7886996541595774,3.6,0.6025111879645384,4715.945778319739
Q2-013,P00335,U07,C,C_BAT_01,2041.813,2491.813,S003,"S003-FOD-02,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-04",5,56.0,0.14400000000000002,4411.92414433708,2370.11114433708,56.0,0.14400000000000002,2041.813,2491.813,4411.92414433708,4411.92414433708,6806.608043948658,5620.4844278314595,5.7649867062581315,6.4,0.27937666171773357,6806.608043948658
Q2-014,O1-00044,U03,A,A_BAT_01,2043.203,2403.203,"S001,S010","S001-FOD-03,S010-WAT-01",2,22.0,0.055,4074.977370047618,2031.774370047618,22.0,0.055,2043.203,2403.203,4074.977370047618,4074.977370047618,5268.273491422275,2118.118662446513,2.3998711893738096,3.6,0.46669529125026454,5268.273491422275
Q2-015,O1-00082,U01,A,A_BAT_05,2708.386,3068.386,"S001,S010","S001-WAT-07,S010-FOD-01",2,22.0,0.055,4740.160370047618,2031.774370047618,22.0,0.055,2708.386,3068.386,4740.160370047618,4740.160370047618,5921.434943970069,,2.3582581405007916,3.6,0.4759426354442685,5921.434943970069
Q2-016,P00343,U08,C,C_BAT_02,3183.676,3663.676,S004,"S004-FOD-01,S004-HYG-01,S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03",6,59.0,0.156,5484.737066593226,2301.061066593226,59.0,0.156,3183.676,3663.676,5484.737066593226,5484.737066593226,7984.480006259226,5616.499466703387,6.152897007997539,6.4,0.23088787400030764,7984.480006259226
Q2-017,P00108,U05,B,B_BAT_03,3463.884,3853.884,S003,"S003-FOD-01,S003-MED-01,S003-WAT-03",3,25.0,0.067,5544.427098275883,2080.5430982758826,25.0,0.067,3463.884,3853.884,5544.427098275883,5544.427098275883,7415.7174841285905,5851.755117528725,2.7799008904293254,3.2,0.30502477739266864,7415.7174841285905
Q2-018,P00050,U02,A,A_BAT_02,3699.211,4029.211,S007,S007-FOD-01,1,8.0,0.028,5366.646322673638,1667.4353226736384,8.0,0.028,3699.211,4029.211,5366.646322673638,5366.646322673638,6392.362390900827,,1.8197863900171936,3.6,0.5956030244406236,6392.362390900827
Q2-019,P00145,U06,B,B_BAT_04,3782.089,4172.089,S009,"S009-FOD-01,S009-MED-01,S009-WAT-01",3,25.0,0.067,5340.531247394405,1558.4422473944055,25.0,0.067,3782.089,4172.089,5340.531247394405,5340.531247394405,6915.555813458771,9709.188876302796,2.096210537071613,3.2,0.4759473657320967,6915.555813458771
Q2-020,P00632,U07,C,C_BAT_03,4424.633,4964.633,"S011,S008","S011-FOD-01,S011-MED-01,S011-WAT-01,S008-FOD-01,S008-HYG-01,S008-MED-01,S008-WAT-01,S008-WAT-02",8,70.0,0.196,7117.0379059998295,2692.4049059998297,70.0,0.196,4424.633,4964.633,7117.0379059998295,7117.0379059998295,9671.45713784197,5209.611136296257,6.354778702186363,6.4,0.20565266222670464,9671.45713784197
Q2-021,P00170,U06,B,B_BAT_01,5340.532,5730.532,S015,"S015-FOD-01,S015-MED-01,S015-WAT-01",3,25.0,0.067,7168.82058402045,1828.2885840204503,25.0,0.067,5340.532,5730.532,7168.82058402045,7168.82058402045,8835.371323996049,5982.415707989775,2.3074247845590747,3.2,0.4231438038602313,8835.371323996049
Q2-022,P00005,U02,A,A_BAT_03,5366.647,5696.647,S001,S001-HYG-02,1,6.0,0.035,6557.548145264489,1190.9011452644888,6.0,0.035,5366.647,5696.647,6557.548145264489,6557.548145264489,7397.87531720076,,1.178055595164015,3.6,0.73820986774133,7397.87531720076
