box_id,sortie_id,service_id,category,delivery_complete_s,expected_s,hard_deadline_s,tardiness_s
S001-FOD-01,Q3-T024,S001,应急食品,7102.217192530767,7200.0,,0
S001-FOD-02,Q3-T002,S001,应急食品,2940.5739059655775,7200.0,,0
S001-FOD-03,Q3-T014,S001,应急食品,878.5739059655778,7200.0,,0
S001-HYG-01,Q3-T024,S001,生活卫生用品,7102.217192530767,10800.0,,0
S001-HYG-02,Q3-T022,S001,生活卫生用品,6648.573905965578,10800.0,,0
S001-MED-01,Q3-T006,S001,医疗物资,1248.2701959394544,3600.0,3600.0,0
S001-MED-02,Q3-T006,S001,医疗物资,1248.2701959394544,3600.0,3600.0,0
S001-WAT-01,Q3-T006,S001,饮用水,1248.2701959394544,3600.0,3600.0,0
S001-WAT-02,Q3-T006,S001,饮用水,1248.2701959394544,3600.0,,0
S001-WAT-03,Q3-T006,S001,饮用水,1248.2701959394544,3600.0,,0
S001-WAT-04,Q3-T006,S001,饮用水,1248.2701959394544,3600.0,,0
S001-WAT-05,Q3-T006,S001,饮用水,1248.2701959394544,3600.0,,0
S001-WAT-06,Q3-T001,S001,饮用水,878.5739059655778,3600.0,,0
S001-WAT-07,Q3-T015,S001,饮用水,2678.5739059655775,3600.0,,0
S001-WAT-08,Q3-T002,S001,饮用水,2940.5739059655775,3600.0,,0
S002-FOD-01,Q3-T010,S002,应急食品,3100.2869669609554,7200.0,,0
S002-FOD-02,Q3-T005,S002,应急食品,3258.316009319354,7200.0,,0
S002-HYG-01,Q3-T005,S002,生活卫生用品,3258.316009319354,10800.0,,0
S002-MED-01,Q3-T010,S002,医疗物资,3100.2869669609554,3600.0,3600.0,0
S002-WAT-01,Q3-T005,S002,饮用水,3258.316009319354,3600.0,3600.0,0
S002-WAT-02,Q3-T005,S002,饮用水,3258.316009319354,3600.0,,0
S002-WAT-03,Q3-T005,S002,饮用水,3258.316009319354,3600.0,,0
S002-WAT-04,Q3-T010,S002,饮用水,3100.2869669609554,3600.0,,0
S003-FOD-01,Q3-T017,S003,应急食品,5512.244882471275,10800.0,,0
S003-FOD-02,Q3-T013,S003,应急食品,7065.51557216854,10800.0,,0
S003-HYG-01,Q3-T013,S003,生活卫生用品,7065.51557216854,14400.0,,0
S003-MED-01,Q3-T017,S003,医疗物资,5512.244882471275,7200.0,7200.0,0
S003-WAT-01,Q3-T013,S003,饮用水,7065.51557216854,7200.0,7200.0,0
S003-WAT-02,Q3-T013,S003,饮用水,7065.51557216854,7200.0,,0
S003-WAT-03,Q3-T017,S003,饮用水,5512.244882471275,7200.0,,0
S003-WAT-04,Q3-T013,S003,饮用水,7065.51557216854,7200.0,,0
S004-FOD-01,Q3-T016,S004,应急食品,4767.500533296613,10800.0,,0
S004-HYG-01,Q3-T016,S004,生活卫生用品,4767.500533296613,14400.0,,0
S004-MED-01,Q3-T016,S004,医疗物资,4767.500533296613,7200.0,7200.0,0
S004-WAT-01,Q3-T016,S004,饮用水,4767.500533296613,7200.0,7200.0,0
S004-WAT-02,Q3-T016,S004,饮用水,4767.500533296613,7200.0,,0
S004-WAT-03,Q3-T016,S004,饮用水,4767.500533296613,7200.0,,0
S005-FOD-01,Q3-T023,S005,应急食品,9994.343723434851,14400.0,,0
S005-HYG-01,Q3-T023,S005,生活卫生用品,9994.343723434851,18000.0,,0
S005-MED-01,Q3-T023,S005,医疗物资,9994.343723434851,10800.0,10800.0,0
S005-WAT-01,Q3-T023,S005,饮用水,9994.343723434851,10800.0,10800.0,0
S005-WAT-02,Q3-T023,S005,饮用水,9994.343723434851,10800.0,,0
S005-WAT-03,Q3-T023,S005,饮用水,9994.343723434851,10800.0,,0
S006-FOD-01,Q3-T009,S006,应急食品,2769.5957629701734,7200.0,,0
S006-HYG-01,Q3-T009,S006,生活卫生用品,2769.5957629701734,10800.0,,0
S006-MED-01,Q3-T009,S006,医疗物资,2769.5957629701734,3600.0,3600.0,0
S006-WAT-01,Q3-T009,S006,饮用水,2769.5957629701734,3600.0,3600.0,0
S006-WAT-02,Q3-T009,S006,饮用水,2769.5957629701734,3600.0,,0
S006-WAT-03,Q3-T009,S006,饮用水,2769.5957629701734,3600.0,,0
S007-FOD-01,Q3-T018,S007,应急食品,5181.35766133682,7200.0,,0
