transport_sortie_id,phase_index,phase,start_s,end_s,mode,relay_sortie_id,minimum_certified_margin_db
Q3-T001,0,climb,360.0,408.45220336914065,DIRECT,,29.895716894501703
Q3-T001,1,cruise,408.45220336914065,662.951261922609,DIRECT,,2.1546600046995934
Q3-T001,2,descent,662.951261922609,698.5739059655778,DIRECT,,2.1546600046995934
Q3-T001,3,service,698.5739059655778,878.5739059655778,DIRECT,,2.161357484438952
Q3-T001,4,climb,878.5739059655778,960.9337997644059,DIRECT,,2.1247384806462577
Q3-T001,5,cruise,960.9337997644059,1270.0894649948932,RELAY,Q3-R002,4.544465872025597
Q3-T001,6,descent,1270.0894649948932,1301.881337553487,RELAY,Q3-R002,12.478685734830847
Q3-T001,7,service,1301.881337553487,1481.881337553487,RELAY,Q3-R002,12.478685734830847
Q3-T001,8,climb,1481.881337553487,1509.8935161016639,RELAY,Q3-R002,12.478685734830847
Q3-T001,9,cruise,1509.8935161016639,1908.5997557898056,RELAY,Q3-R002,2.4177001541214906
Q3-T001,10,descent,1908.5997557898056,2031.774370047618,DIRECT,,22.673113520866863
Q3-T003,0,climb,390.0,485.20033162434896,DIRECT,,23.374429957205948
Q3-T003,1,cruise,485.20033162434896,689.479632195666,DIRECT,,2.0999962802208643
Q3-T003,1,cruise,689.479632195666,977.8968800358016,RELAY,Q3-R002,3.740583047339584
Q3-T003,2,descent,977.8968800358016,1031.2972779850204,RELAY,Q3-R002,3.728452101253424
Q3-T003,3,service,1031.2972779850204,1271.2972779850204,RELAY,Q3-R002,3.814900855782369
Q3-T003,4,climb,1271.2972779850204,1315.7976096093694,RELAY,Q3-R002,3.728452101253424
Q3-T003,5,cruise,1315.7976096093694,1808.494158020822,RELAY,Q3-R002,2.4168858578606205
Q3-T003,6,descent,1808.494158020822,1922.7345559700407,DIRECT,,23.374429957205948
Q3-T004,0,climb,390.0,544.7491292317709,DIRECT,,18.90665645477702
Q3-T004,1,cruise,544.7491292317709,689.479632195666,DIRECT,,4.948130002328938
Q3-T004,1,cruise,689.479632195666,906.05380889805,RELAY,Q3-R002,7.1795935100591635
Q3-T004,2,descent,906.05380889805,1002.432763976175,RELAY,Q3-R002,1.095414150670777
Q3-T004,3,service,1002.432763976175,1242.432763976175,RELAY,Q3-R002,1.095414150670777
Q3-T004,4,climb,1242.432763976175,1322.7485598746125,RELAY,Q3-R002,1.095414150670777
Q3-T004,5,cruise,1322.7485598746125,1684.0532395408916,RELAY,Q3-R002,2.417908985959187
Q3-T004,6,descent,1684.0532395408916,1869.7521946190166,DIRECT,,18.90665645477702
Q3-T006,0,climb,510.0,568.1426440429688,DIRECT,,29.895716894501703
Q3-T006,1,cruise,568.1426440429688,771.7418908857434,DIRECT,,2.1546600046995934
Q3-T006,2,descent,771.7418908857434,816.2701959394543,DIRECT,,2.1546600046995934
Q3-T006,3,service,816.2701959394543,1248.2701959394544,DIRECT,,2.161357484438952
Q3-T006,4,climb,1248.2701959394544,1283.892839982423,DIRECT,,2.1546600046995934
Q3-T006,5,cruise,1283.892839982423,1487.4920868251977,DIRECT,,2.1546600046995934
Q3-T006,6,descent,1487.4920868251977,1560.1703918789087,DIRECT,,29.895716894501703
Q3-T014,0,climb,360.0,408.45220336914065,DIRECT,,29.895716894501703
Q3-T014,1,cruise,408.45220336914065,662.951261922609,DIRECT,,2.1546600046995934
Q3-T014,2,descent,662.951261922609,698.5739059655778,DIRECT,,2.1546600046995934
Q3-T014,3,service,698.5739059655778,878.5739059655778,DIRECT,,2.161357484438952
Q3-T014,4,climb,878.5739059655778,960.9337997644059,DIRECT,,2.1247384806462577
Q3-T014,5,cruise,960.9337997644059,1270.0894649948932,RELAY,Q3-R002,4.544465872025597
Q3-T014,6,descent,1270.0894649948932,1301.881337553487,RELAY,Q3-R002,12.478685734830847
Q3-T014,7,service,1301.881337553487,1481.881337553487,RELAY,Q3-R002,12.478685734830847
Q3-T014,8,climb,1481.881337553487,1509.8935161016639,RELAY,Q3-R002,12.478685734830847
Q3-T014,9,cruise,1509.8935161016639,1908.5997557898056,RELAY,Q3-R002,2.4177001541214906
Q3-T014,10,descent,1908.5997557898056,2031.774370047618,DIRECT,,22.673113520866863
Q3-T007,0,climb,330.001,458.0920583496094,DIRECT,,20.630567787299057
Q3-T007,1,cruise,458.0920583496094,689.479632195666,DIRECT,,2.914621474043045
Q3-T007,1,cruise,689.479632195666,835.969391317288,RELAY,Q3-R001,8.051495204032435
Q3-T007,2,descent,835.969391317288,901.3586613368193,RELAY,Q3-R001,1.7744714591285629
Q3-T007,3,service,901.3586613368193,1081.3586613368193,RELAY,Q3-R001,1.7744714591285629
Q3-T007,4,climb,1081.3586613368193,1135.8497196864287,RELAY,Q3-R001,1.7744714591285629
Q3-T007,5,cruise,1135.8497196864287,1260.0541442529018,RELAY,Q3-R001,8.788544904548047
Q3-T007,5,cruise,1260.0541442529018,1513.7270526541072,DIRECT,,2.128328211706517
Q3-T007,6,descent,1513.7270526541072,1667.4363226736384,DIRECT,,20.630567787299057
Q3-T008,0,climb,360.001,488.0920583496094,DIRECT,,20.630567787299057
Q3-T008,1,cruise,488.0920583496094,689.479632195666,DIRECT,,4.097272713150076
Q3-T008,1,cruise,689.479632195666,865.969391317288,RELAY,Q3-R001,7.090943706959919
Q3-T008,2,descent,865.969391317288,931.3586613368193,RELAY,Q3-R001,1.7744714591285629
Q3-T008,3,service,931.3586613368193,1141.3586613368193,RELAY,Q3-R001,1.7744714591285629
Q3-T008,4,climb,1141.3586613368193,1195.8497196864287,RELAY,Q3-R001,1.7744714591285629
Q3-T008,5,cruise,1195.8497196864287,1260.0541442529018,RELAY,Q3-R001,0.7162104911907647
Q3-T008,5,cruise,1260.0541442529018,1573.7270526541072,DIRECT,,0.3056046157552572
Q3-T008,6,descent,1573.7270526541072,1727.4363226736384,DIRECT,,20.630567787299057
Q3-T009,0,climb,2040.171,2135.5301357421877,DIRECT,,25.073987177061753
Q3-T009,1,cruise,2135.5301357421877,2347.946843292439,DIRECT,,1.7733656312176436
Q3-T009,2,descent,2347.946843292439,2373.5957629701734,DIRECT,,1.7733656312176436
Q3-T009,3,service,2373.5957629701734,2769.5957629701734,DIRECT,,1.7817937337589171
Q3-T009,4,climb,2769.5957629701734,2790.114898712361,DIRECT,,1.7733656312176436
Q3-T009,5,cruise,2790.114898712361,3002.5316062626125,DIRECT,,1.7733656312176436
Q3-T009,6,descent,3002.5316062626125,3121.730525940347,DIRECT,,25.073987177061753
Q3-T015,0,climb,2160.0,2208.4522033691405,DIRECT,,29.895716894501703
Q3-T015,1,cruise,2208.4522033691405,2462.951261922609,DIRECT,,2.1546600046995934
Q3-T015,2,descent,2462.951261922609,2498.5739059655775,DIRECT,,2.1546600046995934
Q3-T015,3,service,2498.5739059655775,2678.5739059655775,DIRECT,,2.161357484438952
Q3-T015,4,climb,2678.5739059655775,2760.9337997644056,DIRECT,,2.1247384806462577
Q3-T015,5,cruise,2760.9337997644056,2823.1284043063106,DIRECT,,1.8926038664885851
Q3-T015,5,cruise,2823.1284043063106,3070.0894649948928,RELAY,Q3-R002,6.512013160094824
Q3-T015,6,descent,3070.0894649948928,3101.8813375534864,RELAY,Q3-R002,12.478685734830847
Q3-T015,7,service,3101.8813375534864,3281.8813375534864,RELAY,Q3-R002,12.478685734830847
Q3-T015,8,climb,3281.8813375534864,3309.8935161016634,RELAY,Q3-R002,12.478685734830847
Q3-T015,9,cruise,3309.8935161016634,3393.8858831974967,RELAY,Q3-R002,6.515254436855159
Q3-T015,9,cruise,3393.8858831974967,3708.599755789805,DIRECT,,0.29212297724942005
Q3-T015,10,descent,3708.599755789805,3831.7743700476176,DIRECT,,22.673113520866863
Q3-T005,0,climb,2287.0,2359.5017016601564,DIRECT,,27.708590776887306
Q3-T005,1,cruise,2359.5017016601564,2853.588882244159,RELAY,Q3-R002,0.34229865025154993
Q3-T005,2,descent,2853.588882244159,2898.316009319354,RELAY,Q3-R003,8.950517356975595
Q3-T005,3,service,2898.316009319354,3258.316009319354,RELAY,Q3-R003,9.036983652347416
Q3-T005,4,climb,3258.316009319354,3294.0977109795103,RELAY,Q3-R003,8.950517356975595
Q3-T005,5,cruise,3294.0977109795103,3393.8858831974967,RELAY,Q3-R002,0.34229865025154993
