transport_sortie_id,start_s,end_s,source,margin_lower_bound_db
Q3-T001,360.0,408.45220336914065,DIRECT,29.895716894501703
Q3-T001,408.45220336914065,662.951261922609,DIRECT,2.1546600046995934
Q3-T001,662.951261922609,698.5739059655778,DIRECT,2.1546600046995934
Q3-T001,698.5739059655778,878.5739059655778,DIRECT,2.161357484438952
Q3-T001,878.5739059655778,960.9337997644059,DIRECT,2.1247384806462577
Q3-T001,960.9337997644059,1270.0894649948932,RELAY,4.544465872025597
Q3-T001,1270.0894649948932,1301.881337553487,RELAY,12.478685734830847
Q3-T001,1301.881337553487,1481.881337553487,RELAY,12.478685734830847
Q3-T001,1481.881337553487,1509.8935161016639,RELAY,12.478685734830847
Q3-T001,1509.8935161016639,1908.5997557898056,RELAY,2.4177001541214906
Q3-T001,1908.5997557898056,2031.774370047618,DIRECT,22.673113520866863
Q3-T003,390.0,485.20033162434896,DIRECT,23.374429957205948
Q3-T003,485.20033162434896,689.479632195666,DIRECT,2.0999962802208643
Q3-T003,689.479632195666,977.8968800358016,RELAY,3.740583047339584
Q3-T003,977.8968800358016,1031.2972779850204,RELAY,3.728452101253424
Q3-T003,1031.2972779850204,1271.2972779850204,RELAY,3.814900855782369
Q3-T003,1271.2972779850204,1315.7976096093694,RELAY,3.728452101253424
Q3-T003,1315.7976096093694,1808.494158020822,RELAY,2.4168858578606205
Q3-T003,1808.494158020822,1922.7345559700407,DIRECT,23.374429957205948
Q3-T004,390.0,544.7491292317709,DIRECT,18.90665645477702
Q3-T004,544.7491292317709,689.479632195666,DIRECT,4.948130002328938
Q3-T004,689.479632195666,906.05380889805,RELAY,7.1795935100591635
Q3-T004,906.05380889805,1002.432763976175,RELAY,1.095414150670777
Q3-T004,1002.432763976175,1242.432763976175,RELAY,1.095414150670777
Q3-T004,1242.432763976175,1322.7485598746125,RELAY,1.095414150670777
Q3-T004,1322.7485598746125,1684.0532395408916,RELAY,2.417908985959187
Q3-T004,1684.0532395408916,1869.7521946190166,DIRECT,18.90665645477702
Q3-T006,510.0,568.1426440429688,DIRECT,29.895716894501703
Q3-T006,568.1426440429688,771.7418908857434,DIRECT,2.1546600046995934
Q3-T006,771.7418908857434,816.2701959394543,DIRECT,2.1546600046995934
Q3-T006,816.2701959394543,1248.2701959394544,DIRECT,2.161357484438952
Q3-T006,1248.2701959394544,1283.892839982423,DIRECT,2.1546600046995934
Q3-T006,1283.892839982423,1487.4920868251977,DIRECT,2.1546600046995934
Q3-T006,1487.4920868251977,1560.1703918789087,DIRECT,29.895716894501703
Q3-T014,360.0,408.45220336914065,DIRECT,29.895716894501703
Q3-T014,408.45220336914065,662.951261922609,DIRECT,2.1546600046995934
Q3-T014,662.951261922609,698.5739059655778,DIRECT,2.1546600046995934
Q3-T014,698.5739059655778,878.5739059655778,DIRECT,2.161357484438952
Q3-T014,878.5739059655778,960.9337997644059,DIRECT,2.1247384806462577
Q3-T014,960.9337997644059,1270.0894649948932,RELAY,4.544465872025597
Q3-T014,1270.0894649948932,1301.881337553487,RELAY,12.478685734830847
Q3-T014,1301.881337553487,1481.881337553487,RELAY,12.478685734830847
Q3-T014,1481.881337553487,1509.8935161016639,RELAY,12.478685734830847
Q3-T014,1509.8935161016639,1908.5997557898056,RELAY,2.4177001541214906
Q3-T014,1908.5997557898056,2031.774370047618,DIRECT,22.673113520866863
Q3-T007,330.001,458.0920583496094,DIRECT,20.630567787299057
Q3-T007,458.0920583496094,689.479632195666,DIRECT,2.914621474043045
Q3-T007,689.479632195666,835.969391317288,RELAY,8.051495204032435
Q3-T007,835.969391317288,901.3586613368193,RELAY,1.7744714591285629
Q3-T007,901.3586613368193,1081.3586613368193,RELAY,1.7744714591285629
Q3-T007,1081.3586613368193,1135.8497196864287,RELAY,1.7744714591285629
Q3-T007,1135.8497196864287,1260.0541442529018,RELAY,8.788544904548047
Q3-T007,1260.0541442529018,1513.7270526541072,DIRECT,2.128328211706517
Q3-T007,1513.7270526541072,1667.4363226736384,DIRECT,20.630567787299057
Q3-T008,360.001,488.0920583496094,DIRECT,20.630567787299057
Q3-T008,488.0920583496094,689.479632195666,DIRECT,4.097272713150076
Q3-T008,689.479632195666,865.969391317288,RELAY,7.090943706959919
Q3-T008,865.969391317288,931.3586613368193,RELAY,1.7744714591285629
Q3-T008,931.3586613368193,1141.3586613368193,RELAY,1.7744714591285629
Q3-T008,1141.3586613368193,1195.8497196864287,RELAY,1.7744714591285629
