sortie_id,battery_id,type,occupation_start_s,charge_start_s,full_ready_s,return_soc
Q3-T001,A_BAT_06,A,0.0,2031.774370047618,3193.9302231059523,0.4906493438012812
Q3-T003,B_BAT_04,B,0.0,1922.7345559700407,3782.0881474609196,0.31191138952449315
Q3-T004,B_BAT_03,B,0.0,1869.7521946190166,3463.8834966823288,0.4649242488096277
Q3-T006,C_BAT_02,C,0.0,1560.1703918789087,3183.6751246205577,0.6353055079653928
Q3-T014,A_BAT_01,A,0.0,2031.774370047618,3225.0704914222742,0.46669529125026454
Q3-T007,A_BAT_03,A,0.001,1667.4363226736384,2708.385712921132,0.5838850844250048
Q3-T008,A_BAT_05,A,0.001,1727.4363226736384,2777.8594478353825,0.5765975960294276
Q3-T009,C_BAT_04,C,1560.171,3121.730525940347,4658.682463732265,0.6752529517883454
Q3-T015,A_BAT_04,A,1800.0,3831.7743700476176,5013.048943970069,0.4759426354442685
Q3-T005,C_BAT_03,C,1837.0,3878.812018638708,6261.632960697143,0.28485187289610714
Q3-T010,B_BAT_02,B,1880.0,3696.693933921911,5539.164110282493,0.3216518213304336
Q3-T011,B_BAT_01,B,1922.735,3433.2052802929447,4890.583194391026,0.5438204341741839
Q3-T002,A_BAT_02,A,2032.0,3282.9011452644886,4153.350476532388,0.7150389759477697
Q3-T016,C_BAT_02,C,3184.0,5485.061066593225,7984.804006259225,0.23088787400030764
Q3-T020,C_BAT_01,C,3879.0,6571.40490599983,9125.82413784197,0.20565266222670464
Q3-T019,B_BAT_04,B,3882.0,5440.442247394406,7015.466813458772,0.4759473657320967
Q3-T018,A_BAT_03,A,4100.0,5767.435322673639,6793.151390900829,0.5956030244406236
Q3-T017,B_BAT_03,B,4164.0,6244.543098275882,8115.83348412859,0.30502477739266864
Q3-T021,B_BAT_01,B,5441.0,7269.28858402045,8935.83932399605,0.4231438038602313
Q3-T013,C_BAT_04,C,5486.0,7856.111144337079,10250.795043948656,0.27937666171773357
Q3-T024,B_BAT_02,B,6244.543098275882,7393.644620118984,8496.658679206239,0.7482611197573525
Q3-T025,A_BAT_01,A,5669.838,7337.273322673639,8358.97027746041,0.5986946501640227
Q3-T022,A_BAT_02,A,5800.0,6990.901145264488,7831.228317200759,0.73820986774133
Q3-T023,C_BAT_03,C,8621.11114433708,10498.306302532623,12475.145311816545,0.47222814956126735
