sortie_id,uav_id,aircraft_type,battery_id,start_s,takeoff_s,service_sequence,box_ids,box_count,mass_kg,volume_m3,return_s,energy_kwh,return_soc
Q3-T001,U02,A,A_BAT_06,0.0,360.0,"S001,S010","S001-WAT-06,S010-MED-01",2,17.0,0.039,2031.774370047618,2.2920779528942345,0.4906493438012812
Q3-T003,U05,B,B_BAT_04,0.0,390.0,S012,"S012-FOD-01,S012-MED-01,S012-WAT-01",3,25.0,0.067,1922.7345559700407,2.7523544419020274,0.31191138952449315
Q3-T004,U06,B,B_BAT_03,0.0,390.0,S014,"S014-FOD-01,S014-MED-01,S014-WAT-01",3,25.0,0.067,1869.7521946190166,2.1403030047614893,0.4649242488096277
Q3-T006,U08,C,C_BAT_02,0.0,510.0,S001,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",7,76.0,0.159,1560.1703918789087,2.917555936276858,0.6353055079653928
Q3-T014,U03,A,A_BAT_01,0.0,360.0,"S001,S010","S001-FOD-03,S010-WAT-01",2,22.0,0.055,2031.774370047618,2.3998711893738096,0.46669529125026454
Q3-T007,U01,A,A_BAT_03,0.001,330.001,S007,S007-WAT-01,1,14.0,0.027,1667.4363226736384,1.8725171200874788,0.5838850844250048
Q3-T008,U04,A,A_BAT_05,0.001,360.001,S007,"S007-WAT-02,S007-MED-01",2,17.0,0.039,1727.4363226736384,1.905310817867576,0.5765975960294276
Q3-T009,U08,C,C_BAT_04,1560.171,2040.171,S006,"S006-FOD-01,S006-HYG-01,S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03",6,59.0,0.156,3121.730525940347,2.5979763856932365,0.6752529517883454
Q3-T015,U01,A,A_BAT_04,1800.0,2160.0,"S001,S010","S001-WAT-07,S010-FOD-01",2,22.0,0.055,3831.7743700476176,2.3582581405007916,0.4759426354442685
Q3-T005,U07,C,C_BAT_03,1837.0,2287.0,S002,"S002-FOD-02,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-WAT-03",5,56.0,0.14400000000000002,3878.812018638708,5.721185016831143,0.28485187289610714
Q3-T010,U06,B,B_BAT_02,1880.0,2270.0,S002,"S002-FOD-01,S002-MED-01,S002-WAT-04",3,25.0,0.067,3696.693933921911,2.7133927146782657,0.3216518213304336
Q3-T011,U05,B,B_BAT_01,1922.735,2312.7349999999997,S013,"S013-FOD-01,S013-MED-01,S013-WAT-01",3,25.0,0.067,3433.2052802929447,1.8247182633032644,0.5438204341741839
Q3-T002,U03,A,A_BAT_02,2032.0,2392.0,S001,"S001-FOD-02,S001-WAT-08",2,22.0,0.055,3282.9011452644886,1.2823246082350366,0.7150389759477697
Q3-T016,U08,C,C_BAT_02,3184.0,3664.0,S004,"S004-FOD-01,S004-HYG-01,S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03",6,59.0,0.156,5485.061066593225,6.152897007997539,0.23088787400030764
Q3-T020,U07,C,C_BAT_01,3879.0,4419.0,"S011,S008","S011-FOD-01,S011-MED-01,S011-WAT-01,S008-FOD-01,S008-HYG-01,S008-MED-01,S008-WAT-01,S008-WAT-02",8,70.0,0.196,6571.40490599983,6.354778702186363,0.20565266222670464
Q3-T019,U06,B,B_BAT_04,3882.0,4272.0,S009,"S009-FOD-01,S009-MED-01,S009-WAT-01",3,25.0,0.067,5440.442247394406,2.096210537071613,0.4759473657320967
Q3-T018,U02,A,A_BAT_03,4100.0,4430.0,S007,S007-FOD-01,1,8.0,0.028,5767.435322673639,1.8197863900171936,0.5956030244406236
Q3-T017,U05,B,B_BAT_03,4164.0,4554.0,S003,"S003-FOD-01,S003-MED-01,S003-WAT-03",3,25.0,0.067,6244.543098275882,2.7799008904293254,0.30502477739266864
Q3-T021,U06,B,B_BAT_01,5441.0,5831.0,S015,"S015-FOD-01,S015-MED-01,S015-WAT-01",3,25.0,0.067,7269.28858402045,2.3074247845590747,0.4231438038602313
Q3-T013,U08,C,C_BAT_04,5486.0,5936.0,S003,"S003-FOD-02,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-04",5,56.0,0.14400000000000002,7856.111144337079,5.7649867062581315,0.27937666171773357
Q3-T024,U05,B,B_BAT_02,6244.543098275882,6604.543098275882,S001,"S001-FOD-01,S001-HYG-01",2,14.0,0.063,7393.644620118984,1.00695552097059,0.7482611197573525
Q3-T025,U01,A,A_BAT_01,5669.838,5999.838,S007,S007-HYG-01,1,6.0,0.035,7337.273322673639,1.8058740742618977,0.5986946501640227
Q3-T022,U02,A,A_BAT_02,5800.0,6130.0,S001,S001-HYG-02,1,6.0,0.035,6990.901145264488,1.178055595164015,0.73820986774133
Q3-T023,U08,C,C_BAT_03,8621.11114433708,9101.11114433708,S005,"S005-FOD-01,S005-HYG-01,S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03",6,59.0,0.156,10498.306302532623,4.222174803509861,0.47222814956126735
