sortie_id,uav_id,type,start_s,return_s
Q3-T001,U02,A,0.0,2031.774370047618
Q3-T003,U05,B,0.0,1922.7345559700407
Q3-T004,U06,B,0.0,1869.7521946190166
Q3-T006,U08,C,0.0,1560.1703918789087
Q3-T014,U03,A,0.0,2031.774370047618
Q3-T007,U01,A,0.001,1667.4363226736384
Q3-T008,U04,A,0.001,1727.4363226736384
Q3-T009,U08,C,1560.171,3121.730525940347
Q3-T015,U01,A,1800.0,3831.7743700476176
Q3-T005,U07,C,1837.0,3878.812018638708
Q3-T010,U06,B,1880.0,3696.693933921911
Q3-T011,U05,B,1922.735,3433.2052802929447
Q3-T002,U03,A,2032.0,3282.9011452644886
Q3-T016,U08,C,3184.0,5485.061066593225
Q3-T020,U07,C,3879.0,6571.40490599983
Q3-T019,U06,B,3882.0,5440.442247394406
Q3-T018,U02,A,4100.0,5767.435322673639
Q3-T017,U05,B,4164.0,6244.543098275882
Q3-T021,U06,B,5441.0,7269.28858402045
Q3-T013,U08,C,5486.0,7856.111144337079
Q3-T024,U05,B,6244.543098275882,7393.644620118984
Q3-T025,U01,A,5669.838,7337.273322673639
Q3-T022,U02,A,5800.0,6990.901145264488
Q3-T023,U08,C,8621.11114433708,10498.306302532623
